epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,9917.93,0.80798,1.38902,1.51509,1.12844,0.68435,0.2251,0.28341,0.20817,0.71508,0.24594,0.30554,0.22238,0.87027,1.45474,1.77765,1.25782,0.006634,0.006634,0.006634
19,10461.5,0.81172,1.38556,1.48538,1.1351,0.42303,0.32696,0.30835,0.22803,0.44233,0.34574,0.34257,0.24511,0.89272,1.49868,1.60877,1.27529,0.006436,0.006436,0.006436
20,11009.7,0.81997,1.41067,1.47304,1.13333,0.59817,0.30449,0.3708,0.27331,0.63821,0.3178,0.38641,0.28739,0.82083,1.33583,1.57329,1.21423,0.006238,0.006238,0.006238
21,11554,0.77982,1.36645,1.43951,1.12034,0.48927,0.39192,0.37324,0.29693,0.53296,0.42338,0.39973,0.30755,0.79249,1.28765,1.45188,1.19944,0.00604,0.00604,0.00604
22,12101.1,0.7742,1.32087,1.39977,1.11405,0.60284,0.37495,0.42181,0.33485,0.63701,0.39758,0.44544,0.35162,0.81644,1.22781,1.41308,1.22917,0.005842,0.005842,0.005842
23,12645,0.76948,1.32674,1.35399,1.10444,0.56607,0.38133,0.40841,0.31228,0.59075,0.39967,0.44011,0.346,0.75837,1.18245,1.33802,1.18266,0.005644,0.005644,0.005644
24,13187.4,0.74297,1.28292,1.30865,1.09805,0.85485,0.31036,0.42448,0.32591,0.88576,0.33099,0.45041,0.36004,0.77615,1.22998,1.3476,1.18578,0.005446,0.005446,0.005446
25,13732.1,0.76766,1.29035,1.33771,1.10923,0.60483,0.31812,0.40143,0.29134,0.62654,0.33784,0.4336,0.32475,0.83114,1.44921,1.48556,1.26009,0.005248,0.005248,0.005248
26,14275,0.73741,1.25706,1.24038,1.0927,0.5676,0.49244,0.45135,0.37307,0.59074,0.51015,0.48474,0.38786,0.74513,1.27996,1.36767,1.18435,0.00505,0.00505,0.00505
27,14817.8,0.71783,1.18008,1.24366,1.07967,0.65331,0.32273,0.41115,0.31471,0.6942,0.34336,0.45817,0.34433,0.75582,1.233,1.35791,1.17483,0.004852,0.004852,0.004852
28,15358.9,0.7114,1.22352,1.22622,1.08094,0.60669,0.39401,0.44829,0.33939,0.62861,0.41099,0.47343,0.36446,0.78154,1.22562,1.39953,1.19678,0.004654,0.004654,0.004654
29,15901,0.70367,1.23684,1.20695,1.07466,0.58984,0.44896,0.46098,0.37071,0.61737,0.46868,0.48896,0.38692,0.74531,1.21055,1.38326,1.1918,0.004456,0.004456,0.004456
30,16443.1,0.69613,1.18497,1.18342,1.07864,0.83686,0.45594,0.4849,0.40355,0.8568,0.47566,0.51076,0.40576,0.74324,1.24889,1.31774,1.17569,0.004258,0.004258,0.004258
31,16982.8,0.69515,1.16807,1.14704,1.06655,0.6126,0.44928,0.49044,0.41423,0.62853,0.46671,0.51805,0.42167,0.7507,1.19322,1.22943,1.19516,0.00406,0.00406,0.00406
32,17524.8,0.67634,1.13879,1.15953,1.0505,0.77438,0.36374,0.44332,0.36525,0.78937,0.38045,0.48132,0.37748,0.73551,1.20356,1.27349,1.1806,0.003862,0.003862,0.003862
33,18064.8,0.68545,1.18798,1.14703,1.06517,0.65682,0.42394,0.48226,0.39144,0.6839,0.45116,0.51824,0.40609,0.73637,1.10909,1.20105,1.16676,0.003664,0.003664,0.003664
34,18604.6,0.66231,1.14304,1.1208,1.05634,0.67274,0.52332,0.52901,0.43697,0.6929,0.54095,0.56327,0.44713,0.71159,1.14167,1.26784,1.15387,0.003466,0.003466,0.003466
35,19144.2,0.65678,1.09065,1.06719,1.06182,0.9133,0.45394,0.55266,0.47181,0.93765,0.47138,0.58698,0.48317,0.67462,1.06569,1.13102,1.13144,0.003268,0.003268,0.003268
36,19682.6,0.66431,1.12714,1.07492,1.05247,0.8936,0.41384,0.52994,0.44264,0.92061,0.43386,0.5657,0.45752,0.70031,1.10706,1.16199,1.14555,0.00307,0.00307,0.00307
37,20220.5,0.63901,1.05696,1.0682,1.03922,0.83278,0.50495,0.56367,0.47217,0.85348,0.52011,0.60157,0.49293,0.66624,1.03452,1.06961,1.11956,0.002872,0.002872,0.002872
38,20759.5,0.62495,1.06427,1.02787,1.02887,0.68994,0.4916,0.53974,0.44927,0.70556,0.50736,0.57112,0.46318,0.6636,1.01748,1.10287,1.10295,0.002674,0.002674,0.002674
39,21300.6,0.64029,1.07265,1.00204,1.03932,0.91464,0.47136,0.58284,0.49968,0.94957,0.48755,0.61099,0.49584,0.68142,1.06237,1.10268,1.12838,0.002476,0.002476,0.002476
40,21841.7,0.61608,1.05481,0.97163,1.01774,0.72406,0.52301,0.55705,0.48154,0.74947,0.54081,0.58471,0.48569,0.62662,1.06538,1.03792,1.09414,0.002278,0.002278,0.002278
41,22375.2,0.57148,0.92646,0.93558,1.04358,0.85109,0.5422,0.56126,0.49207,0.86975,0.56136,0.59103,0.501,0.63208,1.05994,1.07785,1.09541,0.00208,0.00208,0.00208
42,22908.5,0.56476,0.87665,0.90964,1.04082,0.68498,0.53035,0.55212,0.47383,0.69972,0.54545,0.57299,0.48349,0.63234,1.06893,1.0695,1.10419,0.001882,0.001882,0.001882
43,23441.7,0.54051,0.85628,0.86352,1.02407,0.76005,0.52138,0.55969,0.49184,0.77703,0.53653,0.58561,0.4931,0.61747,1.04408,0.99383,1.08242,0.001684,0.001684,0.001684
44,23974.8,0.53641,0.90025,0.85779,1.02399,0.73491,0.53925,0.55968,0.4936,0.74431,0.55967,0.58385,0.47769,0.613,1.06389,1.01958,1.09268,0.001486,0.001486,0.001486
45,24508.5,0.53654,0.87548,0.83052,1.01512,0.82496,0.49518,0.59275,0.50923,0.84545,0.51033,0.61432,0.51089,0.60551,1.04319,0.98617,1.07279,0.001288,0.001288,0.001288
46,25043.2,0.523,0.84882,0.7943,1.00689,0.77888,0.52367,0.56936,0.50849,0.79538,0.53872,0.59434,0.50237,0.5965,1.00493,0.98824,1.06728,0.00109,0.00109,0.00109
47,25576.6,0.50723,0.8212,0.80319,0.99498,0.723,0.56205,0.57365,0.50808,0.73655,0.5752,0.59667,0.5094,0.59311,0.99764,0.98204,1.06406,0.000892,0.000892,0.000892
48,26108.8,0.49591,0.81844,0.78063,0.9895,0.70968,0.56075,0.57792,0.50852,0.72367,0.57558,0.59612,0.5073,0.5854,0.99445,0.9547,1.05779,0.000694,0.000694,0.000694
49,26640.2,0.49867,0.8216,0.77858,0.99989,0.7709,0.53548,0.59046,0.5215,0.92819,0.51748,0.60867,0.52044,0.56557,0.95809,0.92305,1.03934,0.000496,0.000496,0.000496
50,27172.1,0.48958,0.80558,0.77702,0.99022,0.73246,0.4814,0.56666,0.49303,0.74701,0.49647,0.58993,0.49736,0.56229,0.962,0.93268,1.04212,0.000298,0.000298,0.000298
